      Date | Open    | High    |  Low    | Close   | Adj Cl… |    Volume
---------- | ------- | ------- | ------- | ------- | ------- | ---------
2019-05-15 | 5348.34 | 5374.26 | 5297.30 | 5374.26 | 5374.26 | 103541000
2019-05-16 | 5365.37 | 5448.11 | 5346.54 | 5448.11 | 5448.11 |  89653900
2019-05-17 | 5428.17 | 5450.65 | 5401.66 | 5438.23 | 5438.23 |  96770400
2019-05-20 | 5425.30 | 5438.60 | 5333.31 | 5358.59 | 5358.59 |  88787600
2019-05-21 | 5373.01 | 5394.91 | 5350.13 | 5385.46 | 5385.46 |  79280900
2019-05-22 | 5381.69 | 5399.72 | 5345.28 | 5378.98 | 5378.98 |  69422500
2019-05-23 | 5335.12 | 5340.38 | 5272.78 | 5281.37 | 5281.37 |  95282100
2019-05-24 | 5307.80 | 5337.66 | 5302.52 | 5316.51 | 5316.51 |  86386600
2019-05-27 | 5341.39 | 5364.22 | 5323.17 | 5336.19 | 5336.19 |  55120600
2019-05-28 | 5343.30 | 5351.09 | 5300.80 | 5312.69 | 5312.69 | 123522700
2019-05-29 | 5249.27 | 5252.52 | 5203.81 | 5222.12 | 5222.12 |  96891600
2019-05-30 | 5241.95 | 5258.05 | 5229.74 | 5248.91 | 5248.91 |  53926800
2019-05-31 | 5198.76 | 5208.07 | 5160.91 | 5207.63 | 5207.63 |  92675600
2019-06-03 | 5171.61 | 5241.46 | 5152.30 | 5241.46 | 5241.46 |  82486400
2019-06-04 | 5204.22 | 5278.91 | 5191.61 | 5268.26 | 5268.26 | 100999600
2019-06-05 | 5271.26 | 5306.83 | 5265.60 | 5292.00 | 5292.00 |  82999200
2019-06-06 | 5293.72 | 5332.69 | 5264.62 | 5278.43 | 5278.43 |  97740400
2019-06-07 | 5299.71 | 5389.95 | 5299.71 | 5364.05 | 5364.05 |  85504600
2019-06-10 | 5382.29 | 5397.35 | 5369.82 | 5382.50 | 5382.50 |  44478400
2019-06-11 | 5382.88 | 5431.54 | 5381.31 | 5408.45 | 5408.45 |  82532500
2019-06-12 | 5379.15 | 5394.85 | 5358.81 | 5374.92 | 5374.92 |  71298300
2019-06-13 | 5361.60 | 5392.51 | 5353.11 | 5375.63 | 5375.63 |  69304200
2019-06-14 | 5367.10 | 5369.38 | 5342.15 | 5367.62 | 5367.62 |  65531100
2019-06-17 | 5370.76 | 5408.75 | 5368.07 | 5390.95 | 5390.95 |  60116200
2019-06-18 | 5386.38 | 5516.06 | 5376.12 | 5509.73 | 5509.73 | 112114700
2019-06-19 | 5513.32 | 5521.81 | 5496.54 | 5518.45 | 5518.45 |  94042300
2019-06-20 | 5551.03 | 5564.13 | 5535.57 | 5535.57 | 5535.57 |  91520000
2019-06-21 | 5534.43 | 5582.24 | 5518.39 | 5528.33 | 5528.33 | 180857100
2019-06-24 | 5534.35 | 5547.11 | 5514.14 | 5521.71 | 5521.71 |  69081000
2019-06-25 | 5499.82 | 5523.57 | 5499.65 | 5514.57 | 5514.57 |  67601900
2019-06-26 | 5504.67 | 5531.45 | 5497.22 | 5500.72 | 5500.72 |  72145100
2019-06-27 | 5508.38 | 5511.22 | 5465.62 | 5493.61 | 5493.61 |  68458200
2019-06-28 | 5491.17 | 5545.06 | 5486.28 | 5538.97 | 5538.97 |  77991000
2019-07-01 | 5584.13 | 5611.28 | 5567.91 | 5567.91 | 5567.91 |  70651600
2019-07-02 | 5578.38 | 5582.91 | 5556.76 | 5576.82 | 5576.82 |  67572900
2019-07-03 | 5579.24 | 5618.81 | 5579.04 | 5618.81 | 5618.81 |  63296400
2019-07-04 | 5622.80 | 5629.79 | 5613.03 | 5620.73 | 5620.73 |  46168300
2019-07-05 | 5613.92 | 5616.63 | 5573.35 | 5593.72 | 5593.72 |  63896500
2019-07-08 | 5580.26 | 5598.97 | 5572.77 | 5589.19 | 5589.19 |  54984500
2019-07-09 | 5578.34 | 5582.77 | 5544.62 | 5572.10 | 5572.10 |  62346600
2019-07-10 | 5562.44 | 5606.18 | 5557.66 | 5567.59 | 5567.59 |  60776200
2019-07-11 | 5589.68 | 5592.30 | 5548.95 | 5551.95 | 5551.95 |  57476600
2019-07-12 | 5559.16 | 5587.84 | 5552.58 | 5572.86 | 5572.86 |  60414500
2019-07-15 | 5581.11 | 5606.48 | 5550.86 | 5578.21 | 5578.21 |  53770000
2019-07-16 | 5574.18 | 5626.79 | 5573.36 | 5614.38 | 5614.38 |  66028700
2019-07-17 | 5602.25 | 5621.21 | 5567.85 | 5571.71 | 5571.71 |  63754200
2019-07-18 | 5538.03 | 5585.81 | 5533.47 | 5550.55 | 5550.55 |  63265600
2019-07-19 | 5580.99 | 5598.00 | 5534.25 | 5552.34 | 5552.34 |  65514600
2019-07-22 | 5550.30 | 5575.74 | 5545.61 | 5567.02 | 5567.02 |  58118200
2019-07-23 | 5590.60 | 5638.66 | 5580.52 | 5618.16 | 5618.16 |  77856100
2019-07-24 | 5617.86 | 5627.08 | 5583.14 | 5605.87 | 5605.87 |  68914100
2019-07-25 | 5646.73 | 5672.77 | 5549.66 | 5578.05 | 5578.05 | 106354900
2019-07-26 | 5572.72 | 5614.25 | 5568.83 | 5610.05 | 5610.05 |  71726800
2019-07-29 | 5598.65 | 5624.34 | 5590.82 | 5601.10 | 5601.10 |  59297700
2019-07-30 | 5610.73 | 5611.00 | 5496.77 | 5511.07 | 5511.07 |  87362100
2019-07-31 | 5511.51 | 5538.59 | 5503.13 | 5518.90 | 5518.90 |  84213800
2019-08-01 | 5500.91 | 5563.65 | 5499.88 | 5557.41 | 5557.41 |  81383400
2019-08-02 | 5427.55 | 5455.13 | 5350.76 | 5359.00 | 5359.00 | 130992200
2019-08-05 | 5296.08 | 5315.60 | 5230.46 | 5241.55 | 5241.55 | 105517800
2019-08-06 | 5245.52 | 5297.45 | 5234.65 | 5234.65 | 5234.65 |  88253800
2019-08-07 | 5252.73 | 5312.31 | 5226.39 | 5266.51 | 5266.51 |  89433100
2019-08-08 | 5333.18 | 5387.96 | 5305.86 | 5387.96 | 5387.96 |  79249600
2019-08-09 | 5368.84 | 5374.90 | 5317.91 | 5327.92 | 5327.92 |  71097900
2019-08-12 | 5362.39 | 5386.46 | 5293.76 | 5310.31 | 5310.31 |  60267400
2019-08-13 | 5292.94 | 5402.99 | 5268.47 | 5363.07 | 5363.07 |  99386900
2019-08-14 | 5367.54 | 5367.54 | 5233.86 | 5251.30 | 5251.30 |  97168500
2019-08-15 | 5274.90 | 5278.07 | 5170.77 | 5236.93 | 5236.93 |  88556700
2019-08-16 | 5254.62 | 5306.07 | 5249.33 | 5300.79 | 5300.79 |  99103700
2019-08-19 | 5333.13 | 5378.74 | 5325.72 | 5371.56 | 5371.56 |  71538300
2019-08-20 | 5363.59 | 5391.23 | 5328.94 | 5344.64 | 5344.64 |  65790300
2019-08-21 | 5360.03 | 5441.35 | 5360.03 | 5435.48 | 5435.48 |  57209100
2019-08-22 | 5414.81 | 5439.64 | 5378.25 | 5388.25 | 5388.25 |  70434200
2019-08-23 | 5413.41 | 5421.28 | 5326.87 | 5326.87 | 5326.87 |  70292400
2019-08-26 | 5310.16 | 5377.02 | 5300.99 | 5351.02 | 5351.02 |  49092000
2019-08-27 | 5349.85 | 5399.18 | 5321.88 | 5387.09 | 5387.09 |  70020000
2019-08-28 | 5372.08 | 5375.04 | 5322.99 | 5368.80 | 5368.80 |  62433900
2019-08-29 | 5359.00 | 5452.90 | 5354.55 | 5449.97 | 5449.97 |  69419100
2019-08-30 | 5451.60 | 5504.01 | 5446.58 | 5480.48 | 5480.48 |  78422900
2019-09-02 | 5483.43 | 5502.58 | 5479.82 | 5493.04 | 5493.04 |  42347400
2019-09-03 | 5484.36 | 5484.54 | 5441.18 | 5466.07 | 5466.07 |  57453400
2019-09-04 | 5518.92 | 5537.10 | 5508.50 | 5532.07 | 5532.07 |  60939800
2019-09-05 | 5569.59 | 5605.88 | 5559.82 | 5593.37 | 5593.37 |  84379600
2019-09-06 | 5592.07 | 5610.70 | 5581.54 | 5603.99 | 5603.99 |  71138100
2019-09-09 | 5606.36 | 5611.59 | 5579.93 | 5588.95 | 5588.95 |  73880200
2019-09-10 | 5586.88 | 5596.94 | 5555.51 | 5593.21 | 5593.21 | 106338200
2019-09-11 | 5606.43 | 5626.05 | 5606.43 | 5618.06 | 5618.06 |  92098300
2019-09-12 | 5633.95 | 5667.46 | 5596.37 | 5642.86 | 5642.86 | 110360200
2019-09-13 | 5649.23 | 5672.07 | 5638.17 | 5655.46 | 5655.46 |  85595400
2019-09-16 | 5626.61 | 5632.74 | 5602.23 | 5602.23 | 5602.23 |  76134900
2019-09-17 | 5602.96 | 5619.45 | 5587.74 | 5615.51 | 5615.51 |  82367800
2019-09-18 | 5609.92 | 5634.79 | 5601.65 | 5620.65 | 5620.65 |  68987800
2019-09-19 | 5617.70 | 5662.86 | 5616.91 | 5659.08 | 5659.08 |  78682000
2019-09-20 | 5655.37 | 5696.25 | 5647.53 | 5690.78 | 5690.78 | 188623500
2019-09-23 | 5679.31 | 5683.93 | 5619.29 | 5630.76 | 5630.76 |  81625000
2019-09-24 | 5644.46 | 5648.46 | 5625.24 | 5628.33 | 5628.33 |  67257400
2019-09-25 | 5598.50 | 5600.76 | 5531.62 | 5583.80 | 5583.80 |  80836400
2019-09-26 | 5573.63 | 5632.15 | 5572.41 | 5620.57 | 5620.57 |  71044800
2019-09-27 | 5627.44 | 5645.36 | 5621.58 | 5640.58 | 5640.58 |  69249200
2019-09-30 | 5636.15 | 5678.20 | 5624.94 | 5677.79 | 5677.79 |  77126700
2019-10-01 | 5696.20 | 5704.93 | 5594.93 | 5597.63 | 5597.63 |  75964100
2019-10-02 | 5587.14 | 5589.20 | 5422.77 | 5422.77 | 5422.77 | 104451600
2019-10-03 | 5432.01 | 5472.62 | 5393.49 | 5438.77 | 5438.77 |  83768700
2019-10-04 | 5456.83 | 5488.32 | 5426.00 | 5488.32 | 5488.32 |  76196900
2019-10-07 | 5476.77 | 5524.19 | 5461.59 | 5521.61 | 5521.61 |  60954000
2019-10-08 | 5526.01 | 5531.29 | 5451.72 | 5456.62 | 5456.62 |  72687700
2019-10-09 | 5458.16 | 5515.64 | 5447.01 | 5499.14 | 5499.14 |  69267500
2019-10-10 | 5520.98 | 5581.07 | 5487.17 | 5569.05 | 5569.05 |  87261800
2019-10-11 | 5576.95 | 5667.40 | 5574.26 | 5665.48 | 5665.48 | 115452700
2019-10-14 | 5646.33 | 5649.67 | 5600.11 | 5643.08 | 5643.08 |  65357900
2019-10-15 | 5676.74 | 5724.31 | 5659.69 | 5702.05 | 5702.05 |  88007900
2019-10-16 | 5703.39 | 5708.91 | 5677.96 | 5696.90 | 5696.90 |  83929000
2019-10-17 | 5679.92 | 5737.15 | 5673.07 | 5673.07 | 5673.07 |  88695900
2019-10-18 | 5653.08 | 5667.59 | 5621.87 | 5636.25 | 5636.25 |  95316900
2019-10-21 | 5633.04 | 5664.58 | 5625.10 | 5648.35 | 5648.35 |  77639300
2019-10-22 | 5644.98 | 5658.65 | 5612.86 | 5657.69 | 5657.69 |  67301500
2019-10-23 | 5617.30 | 5657.65 | 5616.02 | 5653.44 | 5653.44 |  75280000
2019-10-24 | 5678.26 | 5691.50 | 5659.95 | 5684.33 | 5684.33 |  83627900
2019-10-25 | 5694.90 | 5722.64 | 5671.82 | 5722.15 | 5722.15 |  71714000
2019-10-28 | 5720.73 | 5747.10 | 5711.10 | 5730.57 | 5730.57 |  69809000
2019-10-29 | 5728.10 | 5742.08 | 5715.26 | 5740.14 | 5740.14 |  74571800
2019-10-30 | 5749.69 | 5765.87 | 5720.27 | 5765.87 | 5765.87 |  90959100
2019-10-31 | 5770.26 | 5778.24 | 5718.63 | 5729.86 | 5729.86 | 112062300
2019-11-01 | 5749.48 | 5778.29 | 5739.70 | 5761.89 | 5761.89 |  65867300
2019-11-04 | 5788.36 | 5833.69 | 5784.85 | 5824.30 | 5824.30 |  86434000
2019-11-05 | 5825.60 | 5850.01 | 5818.94 | 5846.89 | 5846.89 |  78408500
2019-11-06 | 5847.61 | 5876.27 | 5838.40 | 5866.74 | 5866.74 |  86948200
2019-11-07 | 5888.84 | 5894.87 | 5871.18 | 5890.99 | 5890.99 | 105688900
2019-11-08 | 5867.42 | 5889.70 | 5861.61 | 5889.70 | 5889.70 |  94387100
2019-11-11 | 5873.74 | 5906.33 | 5871.71 | 5893.82 | 5893.82 |  60606400
2019-11-12 | 5904.27 | 5931.19 | 5897.30 | 5919.75 | 5919.75 |  72093200
2019-11-13 | 5908.16 | 5917.57 | 5874.06 | 5907.09 | 5907.09 |  76988600
2019-11-14 | 5902.40 | 5916.90 | 5894.07 | 5901.08 | 5901.08 |  67172300
2019-11-15 | 5933.07 | 5947.62 | 5907.95 | 5939.27 | 5939.27 |  74070300
2019-11-18 | 5939.64 | 5942.47 | 5900.35 | 5929.79 | 5929.79 |  70805300
2019-11-19 | 5936.99 | 5966.79 | 5895.91 | 5909.05 | 5909.05 |  72290900
2019-11-20 | 5880.69 | 5902.95 | 5859.58 | 5894.03 | 5894.03 |  74180900
2019-11-21 | 5860.55 | 5895.57 | 5834.26 | 5881.21 | 5881.21 |  76235300
2019-11-22 | 5885.61 | 5930.46 | 5885.61 | 5893.13 | 5893.13 |  75146000
2019-11-25 | 5917.84 | 5933.75 | 5908.29 | 5924.86 | 5924.86 |  62132600
2019-11-26 | 5927.41 | 5941.51 | 5909.93 | 5929.62 | 5929.62 | 112044300
2019-11-27 | 5943.45 | 5947.30 | 5921.92 | 5926.84 | 5926.84 |  68032200
2019-11-28 | 5909.95 | 5919.13 | 5900.21 | 5912.72 | 5912.72 |  42729800
2019-11-29 | 5895.89 | 5929.79 | 5885.66 | 5905.17 | 5905.17 |  61639300
2019-12-02 | 5910.12 | 5947.68 | 5781.03 | 5786.74 | 5786.74 |  99392100
2019-12-03 | 5787.14 | 5800.93 | 5697.06 | 5727.22 | 5727.22 |  86293300
2019-12-04 | 5725.97 | 5812.71 | 5725.97 | 5799.68 | 5799.68 |  89688600
2019-12-05 | 5808.26 | 5849.78 | 5801.46 | 5801.55 | 5801.55 |  73424300
2019-12-06 | 5815.75 | 5871.91 | 5811.29 | 5871.91 | 5871.91 |  75933300
2019-12-09 | 5865.73 | 5870.79 | 5836.14 | 5837.25 | 5837.25 |  56245200
2019-12-10 | 5833.48 | 5851.11 | 5776.67 | 5848.03 | 5848.03 |  73070100
2019-12-11 | 5844.02 | 5865.88 | 5825.42 | 5860.88 | 5860.88 |  62940400
2019-12-12 | 5871.20 | 5915.65 | 5845.00 | 5884.26 | 5884.26 |  91513000
2019-12-13 | 5968.86 | 5972.17 | 5907.22 | 5919.02 | 5919.02 | 113199500
2019-12-16 | 5946.65 | 6003.38 | 5942.30 | 5991.66 | 5991.66 |  77242800
2019-12-17 | 5989.48 | 5989.48 | 5955.36 | 5968.26 | 5968.26 |  84477400
2019-12-18 | 5971.40 | 5983.02 | 5959.60 | 5959.60 | 5959.60 |  80799300
2019-12-19 | 5963.87 | 5972.28 | 5942.88 | 5972.28 | 5972.28 |  72322800
2019-12-20 | 5979.53 | 6024.17 | 5966.88 | 6021.53 | 6021.53 | 151362500
2019-12-23 | 6013.56 | 6035.95 | 6005.96 | 6029.37 | 6029.37 |  46603900
2019-12-24 | 6027.19 | 6033.99 | 6025.62 | 6029.55 | 6029.55 |  12440900
2019-12-25 | None    | None    | None    | None    | None    |      None
2019-12-27 | 6039.95 | 6065.00 | 6027.72 | 6037.39 | 6037.39 |  47289800
2019-12-30 | 6028.96 | 6037.70 | 5982.22 | 5982.22 | 5982.22 |  40318700
2019-12-31 | 5970.59 | 5987.22 | 5958.25 | 5978.06 | 5978.06 |  20670000
2020-01-02 | 6016.61 | 6062.92 | 6011.21 | 6041.50 | 6041.50 |  63958300
2020-01-03 | 6007.96 | 6044.16 | 5994.59 | 6044.16 | 6044.16 |  60488000
2020-01-06 | 6001.21 | 6017.97 | 5955.25 | 6013.59 | 6013.59 |  69063700
2020-01-07 | 6033.22 | 6065.74 | 6000.00 | 6012.35 | 6012.35 |  69593800
2020-01-08 | 5986.81 | 6031.00 | 5972.77 | 6031.00 | 6031.00 |  71431600
2020-01-09 | 6066.75 | 6071.66 | 6034.15 | 6042.55 | 6042.55 |  67961100
2020-01-10 | 6056.74 | 6057.83 | 6028.29 | 6037.11 | 6037.11 |  64393300
2020-01-13 | 6040.91 | 6058.69 | 6018.33 | 6036.14 | 6036.14 |  65192400
2020-01-14 | 6037.45 | 6046.12 | 5980.05 | 6040.89 | 6040.89 |  75439500
2020-01-15 | 6042.72 | 6053.01 | 6011.28 | 6032.61 | 6032.61 |  79851500
