      Date | Open    | High    |  Low    | Close   | Adj Cl… |    Volume
2022-02-10 | 7141.69 | 7169.63 | 7051.60 | 7101.55 | 7101.55 |  86508200
2022-02-11 | 7025.50 | 7071.01 | 6992.09 | 7011.60 | 7011.60 |  82859100
2022-02-14 | 6868.07 | 6875.31 | 6757.33 | 6852.20 | 6852.20 | 117972900
2022-02-15 | 6830.74 | 6983.14 | 6823.45 | 6979.97 | 6979.97 |  92474100
2022-02-16 | 7009.69 | 7031.93 | 6931.09 | 6964.98 | 6964.98 |  74789000
2022-02-17 | 6999.13 | 7017.07 | 6905.69 | 6946.82 | 6946.82 |  90183200
2022-02-18 | 6951.83 | 6995.62 | 6895.09 | 6929.63 | 6929.63 |  87348900
2022-02-22 | 6633.74 | 6834.77 | 6633.74 | 6787.60 | 6787.60 | 101457400
2022-02-23 | 6801.66 | 6904.81 | 6768.38 | 6780.67 | 6780.67 |  86393600
2022-02-24 | 6496.25 | 6617.09 | 6432.89 | 6521.05 | 6521.05 | 207949400
2022-02-25 | 6571.95 | 6762.78 | 6521.56 | 6752.43 | 6752.43 | 152427400
2022-02-28 | 6620.48 | 6684.54 | 6516.16 | 6658.83 | 6658.83 | 171929700
2022-03-01 | 6646.16 | 6662.25 | 6396.49 | 6396.49 | 6396.49 | 171611200
2022-03-02 | 6359.98 | 6544.15 | 6312.30 | 6498.02 | 6498.02 | 169994900
2022-03-03 | 6488.25 | 6543.77 | 6361.60 | 6378.37 | 6378.37 | 132457000
2022-03-04 | 6308.34 | 6321.09 | 6061.66 | 6061.66 | 6061.66 | 180586100
2022-03-07 | 5887.83 | 6115.23 | 5756.38 | 5982.27 | 5982.27 | 243010200
2022-03-08 | 5906.62 | 6169.60 | 5903.10 | 5962.96 | 5962.96 | 168209400
2022-03-09 | 6131.28 | 6387.83 | 6122.80 | 6387.83 | 6387.83 | 189777300
2022-03-10 | 6376.57 | 6380.77 | 6166.11 | 6207.20 | 6207.20 | 148747200
2022-03-11 | 6233.12 | 6466.12 | 6165.41 | 6260.25 | 6260.25 | 136389500
2022-03-14 | 6298.96 | 6421.08 | 6271.82 | 6369.94 | 6369.94 | 113227400
2022-03-15 | 6294.72 | 6383.75 | 6206.05 | 6355.00 | 6355.00 | 102702800
2022-03-16 | 6484.33 | 6680.00 | 6481.70 | 6588.64 | 6588.64 | 145251100
2022-03-17 | 6617.23 | 6635.31 | 6530.79 | 6612.52 | 6612.52 | 100583800
2022-03-18 | 6613.95 | 6620.24 | 6499.59 | 6620.24 | 6620.24 | 191790200
2022-03-21 | 6608.79 | 6642.46 | 6574.07 | 6582.33 | 6582.33 |  78342900
2022-03-22 | 6586.65 | 6666.84 | 6578.91 | 6659.41 | 6659.41 |  79017900
2022-03-23 | 6674.68 | 6684.70 | 6559.31 | 6581.43 | 6581.43 |  76824400
2022-03-24 | 6593.15 | 6636.58 | 6541.32 | 6555.77 | 6555.77 |  82199900
2022-03-25 | 6569.45 | 6615.90 | 6538.80 | 6553.68 | 6553.68 |  73936900
2022-03-28 | 6578.72 | 6683.70 | 6572.01 | 6589.11 | 6589.11 |  78385700
2022-03-29 | 6675.15 | 6829.40 | 6658.78 | 6792.16 | 6792.16 | 110146300
2022-03-30 | 6771.09 | 6771.09 | 6705.69 | 6741.59 | 6741.59 |  80090300
2022-03-31 | 6759.42 | 6776.13 | 6658.74 | 6659.87 | 6659.87 |  81436400
2022-04-01 | 6672.98 | 6708.56 | 6635.27 | 6684.31 | 6684.31 |  65149500
2022-04-04 | 6709.60 | 6745.22 | 6641.61 | 6731.37 | 6731.37 |  65186300
2022-04-05 | 6731.34 | 6743.62 | 6603.44 | 6645.51 | 6645.51 | 103817600
2022-04-06 | 6634.83 | 6643.75 | 6442.44 | 6498.83 | 6498.83 | 104806100
2022-04-07 | 6530.82 | 6582.34 | 6451.10 | 6461.68 | 6461.68 |  94476400
2022-04-08 | 6540.20 | 6581.56 | 6494.63 | 6548.22 | 6548.22 |  91669300
2022-04-11 | 6558.53 | 6614.96 | 6502.14 | 6555.81 | 6555.81 |  87321100
2022-04-12 | 6454.25 | 6570.75 | 6424.97 | 6537.41 | 6537.41 |  84720600
2022-04-13 | 6519.16 | 6563.96 | 6478.45 | 6542.14 | 6542.14 |  72469400
2022-04-14 | 6557.66 | 6607.55 | 6541.90 | 6589.35 | 6589.35 |  79048700
2022-04-20 | 6557.96 | 6636.55 | 6542.21 | 6624.91 | 6624.91 |  87010800
2022-04-21 | 6642.71 | 6757.75 | 6636.79 | 6715.10 | 6715.10 |  88762200
2022-04-22 | 6618.69 | 6654.64 | 6572.87 | 6581.42 | 6581.42 |  83469100
2022-04-25 | 6450.90 | 6512.26 | 6408.71 | 6449.38 | 6449.38 |  94933200
2022-04-26 | 6520.01 | 6535.92 | 6412.49 | 6414.57 | 6414.57 |  95230800
2022-04-27 | 6427.40 | 6474.96 | 6338.61 | 6445.26 | 6445.26 |  92040000
2022-04-28 | 6520.53 | 6575.95 | 6435.75 | 6508.14 | 6508.14 |  76048900
2022-04-29 | 6557.66 | 6601.15 | 6514.10 | 6533.77 | 6533.77 |  83799400
2022-05-02 | 6469.31 | 6474.81 | 6308.47 | 6425.61 | 6425.61 |  87523700
2022-05-03 | 6463.73 | 6507.13 | 6423.03 | 6476.18 | 6476.18 |  83360000
2022-05-04 | 6482.26 | 6494.99 | 6395.68 | 6395.68 | 6395.68 |  72296900
2022-05-05 | 6549.49 | 6558.91 | 6350.66 | 6368.40 | 6368.40 |  96424000
2022-05-06 | 6318.66 | 6322.43 | 6213.64 | 6258.36 | 6258.36 | 113118300
2022-05-09 | 6207.15 | 6260.85 | 6086.02 | 6086.02 | 6086.02 |  91595000
2022-05-10 | 6151.52 | 6206.56 | 6116.91 | 6116.91 | 6116.91 |  90242000
2022-05-11 | 6173.10 | 6269.73 | 6137.24 | 6269.73 | 6269.73 | 106223700
2022-05-12 | 6130.69 | 6238.25 | 6098.22 | 6206.26 | 6206.26 | 105839000
2022-05-13 | 6250.16 | 6363.24 | 6238.79 | 6362.68 | 6362.68 |  85955800
2022-05-16 | 6315.68 | 6369.05 | 6286.02 | 6347.77 | 6347.77 |  75092100
2022-05-17 | 6379.34 | 6448.33 | 6373.73 | 6430.19 | 6430.19 |  86952900
